
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    2.7480      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
     370  0.22837E-003 0.60870E-003 0.19591E-003 0.67901E-003
     371  0.25706E-003 0.75398E-003 0.23477E-003 0.83047E-003
     372  0.12546E-003 0.12805E-002 0.82193E-003 0.15267E-002
     373  0.14855E-003 0.72405E-003 0.38613E-003 0.83391E-003
     374  0.16311E-003 0.50682E-003 0.23503E-003 0.58199E-003
     375  0.20283E-003 0.64256E-003 0.28625E-003 0.73210E-003
     376  0.21784E-003 0.80279E-003 0.33968E-003 0.89851E-003
     377  0.15066E-003 0.90188E-003 0.45050E-003 0.10193E-002
     378  0.73844E-004 0.10620E-002 0.56520E-003 0.12053E-002
     379  0.38263E-005 0.12447E-002 0.68032E-003 0.14185E-002
     380 -0.19707E-004 0.13710E-002 0.76168E-003 0.15685E-002
     381 -0.17468E-004 0.15447E-002 0.85550E-003 0.17659E-002
     382  0.36606E-004 0.16671E-002 0.93582E-003 0.19122E-002
     383  0.12998E-003 0.17041E-002 0.99334E-003 0.19768E-002
     384  0.23310E-003 0.16772E-002 0.10321E-002 0.19830E-002
     385  0.19888E-003 0.12643E-002 0.85852E-003 0.15411E-002
     386  0.16241E-003 0.95418E-003 0.69523E-003 0.11917E-002
     387  0.12488E-003 0.57068E-003 0.31927E-003 0.66574E-003
     388  0.10752E-003 0.96922E-003 0.66518E-003 0.11804E-002
